delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
1385.0,173.57,1.0,8,174.0,173.33,173.0,173.0,173.25,174.0,174.0,174.0
1390.0,173.62,1.0,8,174.0,173.0,173.0,173.5,174.0,173.5,174.0,174.0
1395.0,173.65,1.0,8,174.0,173.5,173.17,173.0,173.5,174.0,174.0,174.0
1400.0,173.69,1.0,8,173.75,174.0,173.12,173.0,173.67,174.0,174.0,174.0
1405.0,173.56,1.0,8,174.0,173.5,173.0,173.0,173.0,174.0,174.0,174.0
1410.0,173.62,1.0,8,173.5,173.75,173.33,173.0,173.5,173.86,174.0,174.0
1415.0,173.71,1.2,8,174.0,173.5,173.5,173.0,173.5,174.0,174.2,174.0
1420.0,173.65,1.0,8,174.0,173.67,173.25,173.0,173.25,174.0,174.0,174.0
1425.0,173.6,1.0,8,173.33,174.0,173.0,173.0,173.5,174.0,174.0,174.0
1430.0,173.56,1.0,8,173.67,173.5,173.0,173.0,173.33,174.0,174.0,174.0
1435.0,173.56,1.0,8,173.5,173.5,173.5,173.5,173.5,173.0,174.0,174.0
1440.0,173.51,1.0,8,173.75,173.67,173.0,173.0,173.0,173.67,174.0,174.0
1445.0,173.5,1.0,8,174.0,173.0,173.5,173.0,173.0,174.0,173.5,174.0
1450.0,173.49,1.0,8,173.6,173.67,173.0,173.0,173.33,173.5,173.8,174.0
1455.0,173.69,1.0,8,174.0,173.5,173.0,173.5,173.5,174.0,174.0,174.0
1460.0,173.56,1.0,8,173.67,173.5,173.2,173.0,173.33,173.75,174.0,174.0
1465.0,173.56,1.0,8,174.0,173.5,173.0,173.0,173.5,173.5,174.0,174.0
1470.0,173.68,1.0,8,174.0,173.75,173.25,173.0,173.75,174.0,173.67,174.0
1475.0,173.66,1.0,8,174.0,173.5,173.0,173.0,173.8,174.0,174.0,174.0
1480.0,173.66,1.0,8,173.75,173.5,173.0,173.0,174.0,174.0,174.0,174.0
